key,registrationMoment,incidentType,description,severityLevel,key:flightAssignment
#base entity
activityLog-01,2024/12/31 23:59,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
#registrationMoment variations
activityLog-02,2012/07/02 04:31,Lorem ipsum dolor sit ame,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
#incidentType variations
activityLog-03,2024/12/31 23:59,L,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-04,2024/12/31 23:59,Lo,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-05,2024/12/31 23:59,Lorem ipsum dolor sit amet  consectetur adipiscin,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-06,2024/12/31 23:59,Lorem ipsum dolor sit amet  consectetur adipiscing,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-07,2024/12/31 23:59,โลเร็ม อิปซัม,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-08,2024/12/31 23:59,لوريم إيبسوم,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-09,2024/12/31 23:59,洛伦·伊普森,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-10,2024/12/31 23:59,<marquee>Hacked</marquee>,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-11,2024/12/31 23:59,<script>alert(‘Hacked!’);</script>,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
activityLog-12,2024/12/31 23:59,' or 'A' = 'A,Lorem ipsum dolor sit amet  consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,5,flightAssignment-01
#description variations
activityLog-13,2024/12/31 23:59,Lorem ipsum dolor sit ame,L,5,flightAssignment-01
activityLog-14,2024/12/31 23:59,Lorem ipsum dolor sit ame,Lo,5,flightAssignment-01
